"","scale","degree","stars","cil","cih","cnt.judgment","speaker.p"
"1","good_excellent","hi1",1,NA,NA,NA,0.0222222222790123
"2","good_excellent","hi1",2,NA,NA,NA,0
"3","good_excellent","hi1",3,NA,NA,NA,0.066666666837037
"4","good_excellent","hi1",4,NA,NA,NA,0.4
"5","good_excellent","hi1",5,NA,NA,NA,0.511111110883951
"6","good_excellent","hi2",1,NA,NA,NA,0
"7","good_excellent","hi2",2,NA,NA,NA,0
"8","good_excellent","hi2",3,NA,NA,NA,0.269841269899219
"9","good_excellent","hi2",4,NA,NA,NA,0.365079365050391
"10","good_excellent","hi2",5,NA,NA,NA,0.365079365050391
"11","good_excellent","mid",1,NA,NA,NA,0
"12","good_excellent","mid",2,NA,NA,NA,0.434769461139901
"13","good_excellent","mid",3,NA,NA,NA,0.380547971800619
"14","good_excellent","mid",4,NA,NA,NA,0.0696810721928588
"15","good_excellent","mid",5,NA,NA,NA,0.115001494866621
"16","good_excellent","low1",1,NA,NA,NA,0.4999999997125
"17","good_excellent","low1",2,NA,NA,NA,0.45000000014375
"18","good_excellent","low1",3,NA,NA,NA,0.05000000014375
"19","good_excellent","low1",4,NA,NA,NA,0
"20","good_excellent","low1",5,NA,NA,NA,0
"21","good_excellent","low2",1,NA,NA,NA,0.666666666434343
"22","good_excellent","low2",2,NA,NA,NA,0.303030303178145
"23","good_excellent","low2",3,NA,NA,NA,0.0303030303875115
"24","good_excellent","low2",4,NA,NA,NA,0
"25","good_excellent","low2",5,NA,NA,NA,0
"26","liked_loved","hi1",1,NA,NA,NA,0
"27","liked_loved","hi1",2,NA,NA,NA,0.0416666667864583
"28","liked_loved","hi1",3,NA,NA,NA,0.104166666486979
"29","liked_loved","hi1",4,NA,NA,NA,0.375000000119792
"30","liked_loved","hi1",5,NA,NA,NA,0.479166666606771
"31","liked_loved","hi2",1,NA,NA,NA,0
"32","liked_loved","hi2",2,NA,NA,NA,0
"33","liked_loved","hi2",3,NA,NA,NA,0.313432835759412
"34","liked_loved","hi2",4,NA,NA,NA,0.343283582120294
"35","liked_loved","hi2",5,NA,NA,NA,0.343283582120294
"36","liked_loved","mid",1,NA,NA,NA,0
"37","liked_loved","mid",2,NA,NA,NA,0.351027738582814
"38","liked_loved","mid",3,NA,NA,NA,0.464230778264333
"39","liked_loved","mid",4,NA,NA,NA,0.0927242053107935
"40","liked_loved","mid",5,NA,NA,NA,0.092017277842059
"41","liked_loved","low1",1,NA,NA,NA,0.477272727201446
"42","liked_loved","low1",2,NA,NA,NA,0.454545454402893
"43","liked_loved","low1",3,NA,NA,NA,0.0454545455971074
"44","liked_loved","low1",4,NA,NA,NA,0
"45","liked_loved","low1",5,NA,NA,NA,0.0227272727985537
"46","liked_loved","low2",1,NA,NA,NA,0.709677419235172
"47","liked_loved","low2",2,NA,NA,NA,0.290322580764828
"48","liked_loved","low2",3,NA,NA,NA,0
"49","liked_loved","low2",4,NA,NA,NA,0
"50","liked_loved","low2",5,NA,NA,NA,0
"51","memorable_unforgettable","hi1",1,NA,NA,NA,0.157894736714681
"52","memorable_unforgettable","hi1",2,NA,NA,NA,0.0789473686599723
"53","memorable_unforgettable","hi1",3,NA,NA,NA,0.0263157895533241
"54","memorable_unforgettable","hi1",4,NA,NA,NA,0.21052631582133
"55","memorable_unforgettable","hi1",5,NA,NA,NA,0.526315789250693
"56","memorable_unforgettable","hi2",1,NA,NA,NA,0.0408163266455643
"57","memorable_unforgettable","hi2",2,NA,NA,NA,0.0408163266455643
"58","memorable_unforgettable","hi2",3,NA,NA,NA,0.102040816144523
"59","memorable_unforgettable","hi2",4,NA,NA,NA,0.367346938871304
"60","memorable_unforgettable","hi2",5,NA,NA,NA,0.448979591693045
"61","memorable_unforgettable","mid",1,NA,NA,NA,0.388871948876524
"62","memorable_unforgettable","mid",2,NA,NA,NA,9.55307379670203e-05
"63","memorable_unforgettable","mid",3,NA,NA,NA,0.41650505297294
"64","memorable_unforgettable","mid",4,NA,NA,NA,0.0906617447717681
"65","memorable_unforgettable","mid",5,NA,NA,NA,0.103865722640801
"66","memorable_unforgettable","low1",1,NA,NA,NA,0.365384615469675
"67","memorable_unforgettable","low1",2,NA,NA,NA,0.442307692154586
"68","memorable_unforgettable","low1",3,NA,NA,NA,0.173076923093935
"69","memorable_unforgettable","low1",4,NA,NA,NA,0.0192307692818047
"70","memorable_unforgettable","low1",5,NA,NA,NA,0
"71","memorable_unforgettable","low2",1,NA,NA,NA,0.310344827654578
"72","memorable_unforgettable","low2",2,NA,NA,NA,0.379310344690844
"73","memorable_unforgettable","low2",3,NA,NA,NA,0.275862068938169
"74","memorable_unforgettable","low2",4,NA,NA,NA,0.034482758716409
"75","memorable_unforgettable","low2",5,NA,NA,NA,0
"76","palatable_delicious","hi1",1,NA,NA,NA,0
"77","palatable_delicious","hi1",2,NA,NA,NA,0
"78","palatable_delicious","hi1",3,NA,NA,NA,0.134615384589867
"79","palatable_delicious","hi1",4,NA,NA,NA,0.423076923059911
"80","palatable_delicious","hi1",5,NA,NA,NA,0.442307692350222
"81","palatable_delicious","hi2",1,NA,NA,NA,0.0136986301801464
"82","palatable_delicious","hi2",2,NA,NA,NA,0.136986301486395
"83","palatable_delicious","hi2",3,NA,NA,NA,0.273972602657722
"84","palatable_delicious","hi2",4,NA,NA,NA,0.273972602657722
"85","palatable_delicious","hi2",5,NA,NA,NA,0.301369863018015
"86","palatable_delicious","mid",1,NA,NA,NA,0
"87","palatable_delicious","mid",2,NA,NA,NA,0.505019932927764
"88","palatable_delicious","mid",3,NA,NA,NA,0.25000319597685
"89","palatable_delicious","mid",4,NA,NA,NA,0.155501858624556
"90","palatable_delicious","mid",5,NA,NA,NA,0.0894750124708298
"91","palatable_delicious","low1",1,NA,NA,NA,0.676470588036332
"92","palatable_delicious","low1",2,NA,NA,NA,0.323529411963668
"93","palatable_delicious","low1",3,NA,NA,NA,0
"94","palatable_delicious","low1",4,NA,NA,NA,0
"95","palatable_delicious","low1",5,NA,NA,NA,0
"96","palatable_delicious","low2",1,NA,NA,NA,0.699999999846667
"97","palatable_delicious","low2",2,NA,NA,NA,0.300000000153333
"98","palatable_delicious","low2",3,NA,NA,NA,0
"99","palatable_delicious","low2",4,NA,NA,NA,0
"100","palatable_delicious","low2",5,NA,NA,NA,0
"101","some_all","hi1",1,NA,NA,NA,0
"102","some_all","hi1",2,NA,NA,NA,0
"103","some_all","hi1",3,NA,NA,NA,0.0869565215
"104","some_all","hi1",4,NA,NA,NA,0.4130434785
"105","some_all","hi1",5,NA,NA,NA,0.5
"106","some_all","hi2",1,NA,NA,NA,0.0163934426723999
"107","some_all","hi2",2,NA,NA,NA,0.0163934426723999
"108","some_all","hi2",3,NA,NA,NA,0.2131147539871
"109","some_all","hi2",4,NA,NA,NA,0.37704918033405
"110","some_all","hi2",5,NA,NA,NA,0.37704918033405
"111","some_all","mid",1,NA,NA,NA,0.0794304757790809
"112","some_all","mid",2,NA,NA,NA,0.541170059182056
"113","some_all","mid",3,NA,NA,NA,0
"114","some_all","mid",4,NA,NA,NA,0.121222444196087
"115","some_all","mid",5,NA,NA,NA,0.258177020842776
"116","some_all","low1",1,NA,NA,NA,0.0121951219888459
"117","some_all","low1",2,NA,NA,NA,0.195121951260559
"118","some_all","low1",3,NA,NA,NA,0.268292682913147
"119","some_all","low1",4,NA,NA,NA,0.280487804901993
"120","some_all","low1",5,NA,NA,NA,0.243902438935455
"121","some_all","low2",1,NA,NA,NA,0.800000000184
"122","some_all","low2",2,NA,NA,NA,0.199999999816
"123","some_all","low2",3,NA,NA,NA,0
"124","some_all","low2",4,NA,NA,NA,0
"125","some_all","low2",5,NA,NA,NA,0
